contract_ticker,event_ticker,decision_time,close_time,asset_symbol,contract_family,proxy_state,predicted_side,selected_side_outcome,selected_side_executable_price,all_in_break_even_probability,conservative_calibrated_side_probability,margin_probability,expected_value_per_contract,paper_result_per_contract,cost_quality,correlation_cluster_key,usable
KXBNB-26JUL0122-B367,KXBNB-26JUL0122,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,BNB,range,proxy_above_range_not_label,yes,0,0.01,0.0107,0.5156621967,0.5049621967,0.5049621967,-0.0107,estimated_fee_from_executable_price,BNB|range|2026-07-02T02:00Z,False
KXBNB-26JUL0122-B372,KXBNB-26JUL0122,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,BNB,range,proxy_above_range_not_label,yes,0,0.01,0.0107,0.5156621967,0.5049621967,0.5049621967,-0.0107,estimated_fee_from_executable_price,BNB|range|2026-07-02T02:00Z,False
KXBNB-26JUL0122-B377,KXBNB-26JUL0122,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,BNB,range,proxy_above_range_not_label,yes,0,0.01,0.0107,0.5156621967,0.5049621967,0.5049621967,-0.0107,estimated_fee_from_executable_price,BNB|range|2026-07-02T02:00Z,False
KXBNB-26JUL0122-B382,KXBNB-26JUL0122,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,BNB,range,proxy_above_range_not_label,yes,0,0.01,0.0107,0.5156621967,0.5049621967,0.5049621967,-0.0107,estimated_fee_from_executable_price,BNB|range|2026-07-02T02:00Z,False
KXBNB-26JUL0122-B387,KXBNB-26JUL0122,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,BNB,range,proxy_above_range_not_label,yes,0,0.01,0.0107,0.5156621967,0.5049621967,0.5049621967,-0.0107,estimated_fee_from_executable_price,BNB|range|2026-07-02T02:00Z,False
KXBNB-26JUL0122-B392,KXBNB-26JUL0122,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,BNB,range,proxy_above_range_not_label,yes,0,0.01,0.0107,0.5156621967,0.5049621967,0.5049621967,-0.0107,estimated_fee_from_executable_price,BNB|range|2026-07-02T02:00Z,False
KXBNB-26JUL0122-B397,KXBNB-26JUL0122,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,BNB,range,proxy_above_range_not_label,yes,0,0.01,0.0107,0.5156621967,0.5049621967,0.5049621967,-0.0107,estimated_fee_from_executable_price,BNB|range|2026-07-02T02:00Z,False
KXBNB-26JUL0122-B402,KXBNB-26JUL0122,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,BNB,range,proxy_above_range_not_label,yes,0,0.01,0.0107,0.5156621967,0.5049621967,0.5049621967,-0.0107,estimated_fee_from_executable_price,BNB|range|2026-07-02T02:00Z,False
KXBNB-26JUL0122-B407,KXBNB-26JUL0122,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,BNB,range,proxy_above_range_not_label,yes,0,0.01,0.0107,0.5156621967,0.5049621967,0.5049621967,-0.0107,estimated_fee_from_executable_price,BNB|range|2026-07-02T02:00Z,False
KXBNB-26JUL0122-B412,KXBNB-26JUL0122,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,BNB,range,proxy_above_range_not_label,yes,0,0.0,0.0,0.5156621967,0.5156621967,0.5156621967,0.0,estimated_fee_from_executable_price,BNB|range|2026-07-02T02:00Z,False
