hypothesis_id,status,classification,model_route,feature_family,candidate_count,multiple_testing_family,target_contract_class,blocked_reason
hyp_0026becd89f452f5,candidate_unvalidated,macro_econ,soft_market_research_backlog,near_settlement_probability_decay,78,universe::macro_econ::near_settlement_probability_decay,macro_econ_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
hyp_0c24ec46f1b99258,candidate_unvalidated,weather,soft_market_research_backlog,simple_rule_external_reference,519,universe::weather::simple_rule_external_reference,weather_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
hyp_0c315ac9fcb25567,candidate_unvalidated,unknown_soft_watch,soft_market_research_backlog,wide_spread_decay,453,universe::unknown_soft_watch::wide_spread_decay,unknown_soft_watch_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
hyp_1b14090ab1b720a9,candidate_unvalidated,unknown_soft_watch,soft_market_research_backlog,low_liquidity_ghost_listing,678,universe::unknown_soft_watch::low_liquidity_ghost_listing,unknown_soft_watch_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
hyp_1bd309192b72429c,candidate_unvalidated,nfl,nfl_quant_glm51_greenfield,legacy_positive_margin_survival,12,ev_ledger::nfl_quant_glm51_greenfield::nfl_game_moneyline::legacy_positive_margin_survival,nfl_game_moneyline,missing_labeled_oos_fdr_cost_aware_evidence
hyp_2583bc509f86cd04,candidate_unvalidated,mlb,mlb-platform,stale_metadata_update_lag,393,universe::mlb::stale_metadata_update_lag,mlb_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
hyp_2d8d392bed55f6f5,candidate_unvalidated,politics_policy,soft_market_research_backlog,low_liquidity_ghost_listing,13,universe::politics_policy::low_liquidity_ghost_listing,politics_policy_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
hyp_348e374aac7a5809,candidate_unvalidated,finance_crypto,soft_market_research_backlog,low_liquidity_ghost_listing,3788,universe::finance_crypto::low_liquidity_ghost_listing,finance_crypto_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
hyp_38f513b2111a83f3,candidate_unvalidated,finance_crypto,soft_market_research_backlog,stale_metadata_update_lag,997,universe::finance_crypto::stale_metadata_update_lag,finance_crypto_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
hyp_3ad9e636ba317514,candidate_unvalidated,finance_crypto,soft_market_research_backlog,wide_spread_decay,799,universe::finance_crypto::wide_spread_decay,finance_crypto_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
hyp_4abf938760fed85d,candidate_unvalidated,macro_econ,soft_market_research_backlog,simple_rule_external_reference,95,universe::macro_econ::simple_rule_external_reference,macro_econ_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
hyp_519e5ae02dcbb283,candidate_unvalidated,finance_crypto,soft_market_research_backlog,near_settlement_probability_decay,3109,universe::finance_crypto::near_settlement_probability_decay,finance_crypto_kalshi_public_market,missing_labeled_oos_fdr_cost_aware_evidence
