hypothesis_id,contract_ticker,side,source_repo_id,market_type,status,decision_time,model_probability,all_in_break_even_probability,blocker
hyp_a03d6bf9a43d8eb5,KXNFLGAME-26AUG06CARARI-ARI,yes,nfl_quant_glm51_greenfield,nfl_game_moneyline,pending,2026-07-01T19:26:36Z,0.2081959141556554,0.5175,
hyp_a03d6bf9a43d8eb5,KXNFLGAME-26AUG13ARILV-ARI,yes,nfl_quant_glm51_greenfield,nfl_game_moneyline,pending,2026-07-01T19:26:36Z,0.2081959141556554,0.7342,
hyp_a03d6bf9a43d8eb5,KXNFLGAME-26SEP09NESEA-NE,yes,nfl_quant_glm51_greenfield,nfl_game_moneyline,pending,2026-07-01T19:26:36Z,0.3083554472723144,0.3864,
hyp_1bd309192b72429c,KXNFLGAME-26SEP09NESEA-SEA,yes,nfl_quant_glm51_greenfield,nfl_game_moneyline,pending,2026-07-01T19:26:36Z,0.6916445527276855,0.6758000000000001,
hyp_a03d6bf9a43d8eb5,KXNFLGAME-26SEP09NESEA-SEA,yes,nfl_quant_glm51_greenfield,nfl_game_moneyline,pending,2026-07-01T19:26:36Z,0.6916445527276855,0.6758000000000001,
hyp_a03d6bf9a43d8eb5,KXNFLGAME-26SEP10SFLAR-LAR,yes,nfl_quant_glm51_greenfield,nfl_game_moneyline,pending,2026-07-01T19:26:36Z,0.6499379233448707,0.666,
hyp_a03d6bf9a43d8eb5,KXNFLGAME-26SEP10SFLAR-SF,yes,nfl_quant_glm51_greenfield,nfl_game_moneyline,pending,2026-07-01T19:26:36Z,0.3500620766551293,0.3864,
hyp_1bd309192b72429c,KXNFLGAME-26SEP13ARILAC-ARI,yes,nfl_quant_glm51_greenfield,nfl_game_moneyline,pending,2026-07-01T19:26:36Z,0.2081959141556554,0.2008,
hyp_a03d6bf9a43d8eb5,KXNFLGAME-26SEP13ARILAC-ARI,yes,nfl_quant_glm51_greenfield,nfl_game_moneyline,pending,2026-07-01T19:26:36Z,0.2081959141556554,0.2008,
hyp_a03d6bf9a43d8eb5,KXNFLGAME-26SEP13ARILAC-LAC,yes,nfl_quant_glm51_greenfield,nfl_game_moneyline,pending,2026-07-01T19:26:36Z,0.7918040858443446,0.859,
