rank,ticker,series_ticker,classification,title,time_to_close_hours,yes_bid,yes_ask,yes_spread,softness_score,model_route,source_route,official_settlement_source,proxy_source_policy
1,KXZEC15M-26JUL020115-15,KXZEC15M,finance_crypto,ZEC price up in next 15 mins?,0.1064,0.86,0.95,0.09,0.73,soft_market_research_backlog,crypto_proxy_fast_label_route,CF Benchmarks RTI,proxy_feature_only_not_official_label
2,KXBNB15M-26JUL020115-15,KXBNB15M,finance_crypto,BNB price up in next 15 mins?,0.1064,0.05,0.09,0.04,0.58,soft_market_research_backlog,crypto_proxy_fast_label_route,CF Benchmarks RTI,proxy_feature_only_not_official_label
3,KXBTC15M-26JUL020115-15,KXBTC15M,finance_crypto,BTC price up in next 15 mins?,0.1064,0.15,0.16,0.01,0.58,soft_market_research_backlog,crypto_proxy_fast_label_route,CF Benchmarks RTI,proxy_feature_only_not_official_label
4,KXDOGE15M-26JUL020115-15,KXDOGE15M,finance_crypto,DOGE price up in next 15 mins?,0.1064,0.02,0.037,0.017,0.58,soft_market_research_backlog,crypto_proxy_fast_label_route,CF Benchmarks RTI,proxy_feature_only_not_official_label
5,KXETH15M-26JUL020115-15,KXETH15M,finance_crypto,ETH price up in next 15 mins?,0.1064,0.16,0.17,0.01,0.58,soft_market_research_backlog,crypto_proxy_fast_label_route,CF Benchmarks RTI,proxy_feature_only_not_official_label
6,KXHYPE15M-26JUL020115-15,KXHYPE15M,finance_crypto,HYPE price up in next 15 mins?,0.1064,0.24,0.25,0.01,0.58,soft_market_research_backlog,crypto_proxy_fast_label_route,CF Benchmarks RTI,proxy_feature_only_not_official_label
7,KXNEAR15M-26JUL020115-15,KXNEAR15M,finance_crypto,NEAR price up in next 15 mins?,0.1064,0.032,0.05,0.018,0.58,soft_market_research_backlog,crypto_proxy_fast_label_route,CF Benchmarks RTI,proxy_feature_only_not_official_label
8,KXSOL15M-26JUL020115-15,KXSOL15M,finance_crypto,SOL price up in next 15 mins?,0.1064,0.082,0.097,0.015,0.58,soft_market_research_backlog,crypto_proxy_fast_label_route,CF Benchmarks RTI,proxy_feature_only_not_official_label
9,KXXRP15M-26JUL020115-15,KXXRP15M,finance_crypto,XRP price up in next 15 mins?,0.1064,0.34,0.37,0.03,0.58,soft_market_research_backlog,crypto_proxy_fast_label_route,CF Benchmarks RTI,proxy_feature_only_not_official_label
1,KXHIGHAUS-26JUL01-B93.5,KXHIGHAUS,weather,"Will the **high temp in Austin** be 93-94° on Jul 1, 2026?",0.8397,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
2,KXHIGHAUS-26JUL01-B95.5,KXHIGHAUS,weather,"Will the **high temp in Austin** be 95-96° on Jul 1, 2026?",0.8397,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
3,KXHIGHAUS-26JUL01-B97.5,KXHIGHAUS,weather,"Will the **high temp in Austin** be 97-98° on Jul 1, 2026?",0.8397,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
4,KXHIGHAUS-26JUL01-B99.5,KXHIGHAUS,weather,"Will the **high temp in Austin** be 99-100° on Jul 1, 2026?",0.8397,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
5,KXHIGHAUS-26JUL01-T100,KXHIGHAUS,weather,"Will the **high temp in Austin** be >100° on Jul 1, 2026?",0.8397,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
6,KXHIGHAUS-26JUL01-T93,KXHIGHAUS,weather,"Will the **high temp in Austin** be <93° on Jul 1, 2026?",0.8397,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
7,KXHIGHCHI-26JUL01-B101.5,KXHIGHCHI,weather,"Will the high temp in Chicago be 101-102° on Jul 1, 2026?",0.8397,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
8,KXHIGHCHI-26JUL01-B95.5,KXHIGHCHI,weather,"Will the high temp in Chicago be 95-96° on Jul 1, 2026?",0.8397,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
9,KXHIGHCHI-26JUL01-B97.5,KXHIGHCHI,weather,"Will the high temp in Chicago be 97-98° on Jul 1, 2026?",0.8397,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
10,KXHIGHCHI-26JUL01-B99.5,KXHIGHCHI,weather,"Will the high temp in Chicago be 99-100° on Jul 1, 2026?",0.8397,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
11,KXHIGHCHI-26JUL01-T102,KXHIGHCHI,weather,"Will the high temp in Chicago be >102° on Jul 1, 2026?",0.8397,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
12,KXHIGHCHI-26JUL01-T95,KXHIGHCHI,weather,"Will the high temp in Chicago be <95° on Jul 1, 2026?",0.8397,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
13,KXLOWTHOU-26JUL01-B75.5,KXLOWTHOU,weather,"Will the minimum temperature be 75-76° on Jul 1, 2026?",0.8564,0.0,0.05,0.05,0.91,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
14,KXLOWTSATX-26JUL01-B72.5,KXLOWTSATX,weather,"Will the minimum temperature be 72-73° on Jul 1, 2026?",0.8564,0.0,0.05,0.05,0.91,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
15,KXTEMPNYCH-26JUL0202-T87.99,KXTEMPNYCH,weather,"Will the temp in New York City be above 87.99° on Jul 2, 2026 at 2am EDT?",0.8564,0.0,0.06,0.06,0.81,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
16,KXHIGHTDAL-26JUL01-B100.5,KXHIGHTDAL,weather,"Will the maximum temperature be 100-101° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
17,KXHIGHTDAL-26JUL01-B102.5,KXHIGHTDAL,weather,"Will the maximum temperature be 102-103° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
18,KXHIGHTDAL-26JUL01-B96.5,KXHIGHTDAL,weather,"Will the maximum temperature be 96-97° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
19,KXHIGHTDAL-26JUL01-B98.5,KXHIGHTDAL,weather,"Will the maximum temperature be 98-99° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
20,KXHIGHTDAL-26JUL01-T103,KXHIGHTDAL,weather,"Will the maximum temperature be >103° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
21,KXHIGHTDAL-26JUL01-T96,KXHIGHTDAL,weather,"Will the maximum temperature be <96° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
22,KXHIGHTHOU-26JUL01-B92.5,KXHIGHTHOU,weather,"Will the maximum temperature be 92-93° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
23,KXHIGHTHOU-26JUL01-B94.5,KXHIGHTHOU,weather,"Will the maximum temperature be 94-95° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
24,KXHIGHTHOU-26JUL01-B96.5,KXHIGHTHOU,weather,"Will the maximum temperature be 96-97° on Jul 1, 2026?",0.8564,0.99,1.0,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
25,KXHIGHTHOU-26JUL01-B98.5,KXHIGHTHOU,weather,"Will the maximum temperature be 98-99° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
26,KXHIGHTHOU-26JUL01-T92,KXHIGHTHOU,weather,"Will the maximum temperature be <92° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
27,KXHIGHTHOU-26JUL01-T99,KXHIGHTHOU,weather,"Will the maximum temperature be >99° on Jul 1, 2026?",0.8564,0.0,0.01,0.01,0.76,soft_market_research_backlog,weather_fast_reference_route,market-specific official weather source,contract_specific_source_audit_required
