model_id,status,horizon_seconds,side,feature,threshold,negative_control,oos_event_count,oos_mean_net_return,oos_mean_gross_return,oos_positive_rate,p_value_mean_net_positive,q_value,bootstrap_mean_net_lower_95,positive_temporal_buckets,recent_bucket_mean_net,largest_series_cluster_share,positive_capacity_event_count
spread_norm_imbalance_buy_yes_h300,insufficient_sample,300,yes,spread_normalized_imbalance,2.0,False,85,-0.0659905882,-0.0368235294,0.0,1.0,,-0.0768164706,0,-0.0497363636,0.3411764706,85
spread_norm_imbalance_buy_no_h300,testable,300,no,spread_normalized_imbalance,-2.0,False,217,-0.0506502304,-0.0196313364,0.0046082949,1.0,1.0,-0.0542769585,0,-0.0473527273,0.3087557604,217
microprice_momentum_buy_yes_h300,insufficient_sample,300,yes,microprice_delta_from_previous,0.005,False,94,-0.1011510638,-0.0728723404,0.0531914894,1.0,,-0.1291234043,0,-0.05236,0.4574468085,94
microprice_momentum_buy_no_h300,insufficient_sample,300,no,microprice_delta_from_previous,-0.005,False,92,-0.1003543478,-0.0722826087,0.0760869565,1.0,,-0.1328434783,0,-0.0551130435,0.4891304348,92
microprice_mid_gap_fade_yes_h300,testable,300,yes,microprice_minus_mid,0.002,False,141,-0.0724205674,-0.0419148936,0.0212765957,1.0,1.0,-0.0923794326,0,-0.047125,0.3687943262,141
microprice_mid_gap_fade_no_h300,testable,300,no,microprice_minus_mid,-0.002,False,206,-0.0764597087,-0.0460194175,0.0048543689,1.0,1.0,-0.0920475728,0,-0.0495641509,0.3252427184,206
depth_delta_buy_yes_h900,testable,900,yes,depth_imbalance_delta,0.05,False,136,-0.0664448529,-0.0358823529,0.0441176471,1.0,1.0,-0.0789470588,0,-0.0566764706,0.3823529412,136
depth_delta_buy_no_h900,testable,900,no,depth_imbalance_delta,-0.05,False,140,-0.068605,-0.0382142857,0.0357142857,1.0,1.0,-0.0830492857,0,-0.0712771429,0.3642857143,140
tight_spread_imbalance_buy_yes_h900,insufficient_sample,900,yes,depth_imbalance_yes,0.25,False,52,-0.0197865385,0.0084615385,0.0961538462,0.9999999999,,-0.0424153846,1,-0.0365923077,0.4423076923,52
tight_spread_imbalance_buy_no_h900,testable,900,no,depth_imbalance_yes,-0.25,False,173,-0.046799422,-0.0171676301,0.0057803468,1.0,1.0,-0.0505312139,0,-0.0475522727,0.3583815029,173
negctrl_time_reversed_imbalance_h300,insufficient_sample,300,yes,depth_imbalance_yes,0.25,True,56,-0.0877767857,-0.0607142857,0.0,1.0,,-0.1079589286,0,-0.0420642857,0.3571428571,56
negctrl_impossible_mid_delta_sign_flip_h300,testable,300,yes,mid_delta_from_previous,0.0,True,105,-0.0802380952,-0.0515238095,0.0571428571,1.0,1.0,-0.0995180952,0,-0.039037037,0.4761904762,105
peer_imbalance_gap_buy_yes_h300,testable,300,yes,peer_self_imbalance_gap,0.2,False,141,-0.0917141844,-0.0631914894,0.0212765957,1.0,1.0,-0.1113148936,0,-0.0522888889,0.2765957447,141
peer_imbalance_gap_buy_no_h300,testable,300,no,peer_self_imbalance_gap,-0.2,False,135,-0.0767948148,-0.0476296296,0.0296296296,1.0,1.0,-0.095717037,0,-0.0531416667,0.2888888889,135
peer_max_delta_follow_yes_h900,testable,900,yes,peer_max_depth_imbalance_delta,0.08,False,124,-0.0604717742,-0.0298387097,0.0564516129,1.0,1.0,-0.0766629032,0,-0.0655129032,0.4032258065,124
peer_min_delta_follow_no_h900,testable,900,no,peer_min_depth_imbalance_delta,-0.08,False,123,-0.0772658537,-0.0466666667,0.0243902439,1.0,1.0,-0.0970634146,0,-0.0743060606,0.3577235772,123
peer_microprice_lead_buy_yes_h300,insufficient_sample,300,yes,peer_mean_microprice_delta,0.004,False,92,-0.0891586957,-0.0602173913,0.0543478261,1.0,,-0.1163923913,0,-0.0530391304,0.4673913043,92
peer_microprice_lead_buy_no_h300,insufficient_sample,300,no,peer_mean_microprice_delta,-0.004,False,98,-0.0776867347,-0.0483673469,0.0816326531,1.0,,-0.1003265306,0,-0.0434230769,0.4795918367,98
negctrl_anti_peer_gap_h300,testable,300,yes,peer_self_imbalance_gap,-0.2,True,135,-0.0722177778,-0.043037037,0.0222222222,1.0,1.0,-0.0879355556,0,-0.04675,0.2888888889,135
negctrl_random_peer_sign_h900,testable,900,yes,peer_max_depth_imbalance_delta,0.0,True,138,-0.0651746377,-0.0336231884,0.0217391304,1.0,1.0,-0.0806594203,0,-0.0794722222,0.3913043478,138
thin_imbalance_fade_yes_h900,insufficient_sample,900,no,thin_book_fade_yes_pressure,0.0005,False,1,-0.2446,-0.23,0.0,1.0,,-0.2446,0,,1.0,1
thin_imbalance_fade_no_h900,insufficient_sample,900,yes,thin_book_fade_yes_pressure,-0.0005,False,3,-0.0626666667,-0.03,0.0,1.0,,-0.0739,0,,1.0,3
thin_imbalance_fade_yes_h300,insufficient_sample,300,no,thin_book_fade_yes_pressure,0.0003,False,2,-0.1838,-0.16,0.0,1.0,,-0.1838,0,,0.5,2
abs_imbalance_fade_no_h300,testable,300,no,abs_depth_imbalance_yes,0.45,False,132,-0.0880613636,-0.0593939394,0.0378787879,1.0,1.0,-0.1111628788,0,-0.0376424242,0.4318181818,132
abs_imbalance_fade_yes_h300,testable,300,yes,depth_imbalance_yes,-0.45,False,120,-0.0981133333,-0.0694166667,0.0166666667,1.0,1.0,-0.12218,0,-0.0536733333,0.4583333333,120
negctrl_thin_momentum_h900,insufficient_sample,900,yes,thin_book_fade_yes_pressure,0.0005,True,1,-0.3474,-0.33,0.0,1.0,,-0.3474,0,,1.0,1
