observation_id,contract_ticker,asset_symbol,contract_family,decision_time,close_time,yes_ask,proxy_price,proxy_state,label_status,yes_outcome
crypto_obs_1934fe83d04469d7a760,KXBNB-26JUL0122-B367,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_60b2f04d18f43ce37685,KXBNB-26JUL0122-B372,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_270858a9d9613fc30d74,KXBNB-26JUL0122-B377,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_ae74debcf6a399f1de3d,KXBNB-26JUL0122-B382,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_497c5e965fa7541185cd,KXBNB-26JUL0122-B387,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_6d48084ef8bfbb114be8,KXBNB-26JUL0122-B392,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_0333fb43d20c69445583,KXBNB-26JUL0122-B397,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_cd988189f5eb6f113f1c,KXBNB-26JUL0122-B402,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_1f48ba724605b16ba876,KXBNB-26JUL0122-B407,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_90955d194fc9b9c5c7ad,KXBNB-26JUL0122-B412,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.0,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_a3532ae926d4287d552d,KXBNB-26JUL0122-B417,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_5150e1a7e445329d32c5,KXBNB-26JUL0122-B422,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_23b70fd6d0387f16e1ff,KXBNB-26JUL0122-B427,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.0,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_c83c9004915893a2800d,KXBNB-26JUL0122-B432,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_57c634ad7c7e6796cbd8,KXBNB-26JUL0122-B437,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_8926147740b975c24a79,KXBNB-26JUL0122-B442,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.0,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_e19bce6d2175611ff619,KXBNB-26JUL0122-B447,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_12435b0d389df2a62993,KXBNB-26JUL0122-B452,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.0,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_96589561ecafba7aa820,KXBNB-26JUL0122-B457,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.0,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_0ff4cbe7a64a6ae5806e,KXBNB-26JUL0122-B462,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.0,547.26,proxy_above_range_not_label,labeled_from_public_kalshi_settled_market,0
crypto_obs_1934fe83d04469d7a760,KXBNB-26JUL0122-B367,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,pending_settled_kalshi_outcome,
crypto_obs_60b2f04d18f43ce37685,KXBNB-26JUL0122-B372,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,pending_settled_kalshi_outcome,
crypto_obs_270858a9d9613fc30d74,KXBNB-26JUL0122-B377,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,pending_settled_kalshi_outcome,
crypto_obs_ae74debcf6a399f1de3d,KXBNB-26JUL0122-B382,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,pending_settled_kalshi_outcome,
crypto_obs_497c5e965fa7541185cd,KXBNB-26JUL0122-B387,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,pending_settled_kalshi_outcome,
crypto_obs_6d48084ef8bfbb114be8,KXBNB-26JUL0122-B392,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,pending_settled_kalshi_outcome,
crypto_obs_0333fb43d20c69445583,KXBNB-26JUL0122-B397,BNB,range,2026-07-02T01:00:17Z,2026-07-02T02:00:00Z,0.01,547.26,proxy_above_range_not_label,pending_settled_kalshi_outcome,
