model_id,status,clock_name,side,feature,oos_event_count,oos_mean_net_return,oos_mean_calibration_residual,q_value,bootstrap_mean_net_lower_95,negative_control,baseline_only
baseline_static_longshot_buy_yes_t60m,insufficient_sample,T-60m,yes,p_hat,1,-0.2942,-0.2760510605,,-0.2942,False,True
baseline_static_favorite_buy_yes_t60m,insufficient_sample,T-60m,yes,p_hat,3,0.1604666667,0.1789319121,,0.1063,False,True
clock_x_price_fade_favorite_t60m,insufficient_sample,T-60m,no,p_hat,19,-0.1060052632,-0.0970911641,,-0.1337684211,False,False
clock_x_price_buy_underdog_t6h,insufficient_sample,T-6h,yes,p_hat,2,-0.36585,-0.3453727588,,-0.36585,False,False
listing_age_cold_start_fade_extreme_t24h,insufficient_sample,T-24h,no,listing_age_hours,0,,,,,False,False
path_slope_reversion_buy_no_t60m,falsified,T-60m,no,path_mid_slope_per_hour,23,-0.1584086957,-0.1612345018,1.0,-0.2193,False,False
path_slope_continuation_buy_yes_t60m,falsified,T-60m,yes,path_mid_slope_per_hour,21,0.1465952381,0.1612345018,2.8608e-06,0.1017952381,False,False
clock_geometry_drift_fade_t15m,falsified,T-15m,no,clock_delta_6h_to_60m,23,-0.0326782609,-0.0256521146,1.0,-0.1400391304,False,False
tight_spread_favorite_buy_yes_t60m,falsified,T-60m,yes,p_hat,20,0.094615,0.1076245857,2.8611e-06,0.065185,False,False
negctrl_trade_against_path_slope_t60m,falsified,T-60m,yes,path_mid_slope_per_hour,24,-0.1316,-0.1278975355,1.0,-0.185075,True,False
negctrl_always_buy_yes_t60m,falsified,T-60m,yes,p_hat,27,-0.0530592593,-0.0383528724,1.0,-0.1301814815,True,False
